url_product,product_internal_id,product_code,product_name,product_brand,product_category,variant,price,cav_points,description,member_price,normal_price,stock,image_url,vinyard,strain,harvest,origin,line,format,type,alcohol_degrees,blend,guard,pairing,Frescor,Cuerpo,Dulzura,Astringencia
https://cav.cl//tienda/producto/morande-gran-reserva-sauvignon-blanc-2021-30129,13494,30129,Morande Gran Reserva Sauvignon Blanc 2021,Morande,Blanco,Sauvignon Blanc,9700,No score available,,Socio: $8.730,Normal: $9.700,Stock: 17,https://cav.cl/storage/sku_images/30129.jpg,,,,,,,,,,,,,,,
https://cav.cl//tienda/producto/morande-gran-reserva-sauvignon-blanc-2020-29217,13058,29217,Morande Gran Reserva Sauvignon Blanc 2020,Morande,Blanco,Sauvignon Blanc,9700,92,,Socio: $8.730,Normal: $9.700,Stock: 1,https://cav.cl/storage/sku_images/29217.jpg,,,,,,,,,,,,,,,
https://cav.cl//tienda/producto/undurraga-aliwen-cabernet-sauvignon-gran-reserva-2022-31542,14374,31542,Undurraga Aliwen Cabernet Sauvignon Gran Reserva 2022,Undurraga,Tinto,Cabernet Sauvignon,9900,92,"Rojo cereza, ribetes violetas, opaco. En nariz aromas frutales, frambuesas, guindas, moras, notas a regaliz, eucaliptus. En boca acidez media, tanino potente, estructurado.",Socio: $8.910,Normal: $9.900,Stock: 50+,https://cav.cl/storage/sku_images/31542.jpg,,,,,,,,,,,,1.0,1.0,0.4,0.4
https://cav.cl//tienda/producto/punti-ferrer-malbec-gran-reserva-2020-30942,14011,30942,Punti Ferrer Malbec Gran Reserva 2020,Punti Ferrer,Tinto,Malbec,9900,No score available,,Socio: $8.910,Normal: $9.900,Stock: 47,https://cav.cl/storage/sku_images/30942.jpg,,,,,,,,,,,,,,,
https://cav.cl//tienda/producto/concha-y-toro-gran-reserva-sauvignon-blanc-2022-30381,13679,30381,Concha y Toro Gran Reserva Sauvignon Blanc 2022,Concha Y Toro,Blanco,Sauvignon Blanc,9990,No score available,,Socio: $8.991,Normal: $9.990,Stock: 7,https://cav.cl/storage/sku_images/30381.jpg,,,,,,,,,,,,,,,
https://cav.cl//tienda/producto/polkura-random-ensamblaje-tinto-2018-29672,13365,29672,Polkura Random Ensamblaje Tinto 2018,Polkura,Ensamblaje Tinto,Ensamblaje Tinto,9990,No score available,"Rojo cereza oscuro, de media profundidad. Aromas de fruta roja maduras combinadas con tonos a café y tierra de hojas, especias ahumadas. Boca fresca, compacta, jugosa, larga, intensa.",Socio: $8.991,Normal: $9.990,Stock: 35,https://cav.cl/storage/sku_images/29672.jpg,,,,,,,,,,,,,,,
https://cav.cl//tienda/producto/lafken-single-vineyard-gewurztraminer-2019-29489,13229,29489,Lafken Single Vineyard Gewurztraminer 2019,Lafken,Blanco,Gewurztraminer,9990,No score available,,Socio: $8.991,Normal: $9.990,Stock: 5,https://cav.cl/storage/sku_images/29489.jpg,,,,,,,,,,,,,,,
https://cav.cl//tienda/producto/misiones-de-rengo-black-gran-reserva-cabernet-sauvignon-2019-29479,13220,29479,Misiones De Rengo Black Gran Reserva Cabernet Sauvignon 2019,Misiones De Rengo,Tinto,Cabernet Sauvignon,9990,No score available,,Socio: $8.991,Normal: $9.990,Stock: 15,https://cav.cl/storage/sku_images/29479.jpg,,,,,,,,,,,,,,,
https://cav.cl//tienda/producto/aila-heaven-cabernet-sauvignon-gran-reserva-2021-28846,12785,28846,Aila Heaven Cabernet Sauvignon Gran Reserva 2021,Aila,Tinto,Cabernet Sauvignon,9990,91,"Rojo violeta brillante, de ribetes rubíes. Aromas a frutas rojas y negras frescas, mora, ciruela, guinda, cuero, eucalipto. En boca es de acidez media-alta, tanino joven, frutal y jugoso. Volumen y cuerpo medios.",Socio: $8.991,Normal: $9.990,Stock: 10,https://cav.cl/storage/sku_images/28846.jpg,,,,,,,,,,,,1.0,1.0,0.4,0.4
https://cav.cl//tienda/producto/emiliana-novas-cabernet-sauvignon-2020-28758,12695,28758,Emiliana Novas Cabernet Sauvignon 2020,Emiliana,Tinto,Cabernet Sauvignon,9990,No score available,"Rojo cereza teja. Nariz perfumada, frambuesa, chocolate amargo, especiado, notas a laurel. En la boca es jugoso, maduro, de cuerpo medio, sabroso.",Socio: $8.991,Normal: $9.990,Stock: 44,https://cav.cl/storage/sku_images/28758.jpg,,,,,,,,,,,,,,,
https://cav.cl//tienda/producto/moretta-wines-ceniciento-cabernet-sauvignon-2020-28676,12646,28676,Moretta Wines Ceniciento Cabernet Sauvignon 2020,Moretta Wines,Tinto,Cabernet Sauvignon,9990,92,"Rojo cereza oscuro, brillante. Aromas de frutos negros con toques terrosos, suave betarraga, fondo maduro, de frutos secos, especias dulces. Boca tersa, jugosa, frutal, amena, de media profundidad y persistencia.",Socio: $8.991,Normal: $9.990,Stock: 31,https://cav.cl/storage/sku_images/28676.jpg,,,,,,,,,,,,0.8,0.6,0.6,0.6
https://cav.cl//tienda/producto/jbouchon-block-series-semillon-2019-27588,11798,27588,J.bouchon Block Series Semillon 2019,J. Bouchon,Blanco,Semillon,9990,92,"Amarillo plata con bordes anaranjados. Nariz a cítrico maduro, miel, menta, hojas verdes. En la boca es muy jugoso, lineal, sabroso. Rico.",Socio: $8.991,Normal: $9.990,Stock: 17,https://cav.cl/storage/sku_images/27588.jpg,,,,,,,,,,,,0.6,0.6,0.6,0.4
https://cav.cl//tienda/producto/undurraga-sibaris-black-series-syrah-carignan-grenache-2021-31505,14287,31505,Undurraga Sibaris Black Series Syrah / Carignan / Grenache 2021,Undurraga,Ensamblaje Tinto,Ensamblaje Tinto,10300,No score available,"Rojo guinda brillante con ribetes violetas. Notas minerales, grafito, cuero, aromas frutales, cereza, casis, frutillas. En boca es de acidez media, tanino medio, frutal.",Socio: $9.270,Normal: $10.300,Stock: 36,https://cav.cl/storage/sku_images/31505.jpg,,,,,,,,,,,,,,,
https://cav.cl//tienda/producto/undurraga-sibaris-black-series-cinsault-2020-30859,13958,30859,Undurraga Sibaris Black Series Cinsault 2020,Undurraga,Tinto,Cinsault,10300,No score available,,Socio: $9.270,Normal: $10.300,Stock: 39,https://cav.cl/storage/sku_images/30859.jpg,,,,,,,,,,,,,,,
https://cav.cl//tienda/producto/undurraga-sibaris-black-series-viognierroussane-2020-28513,12510,28513,Undurraga Sibaris Black Series Viognier/Roussane 2020,Undurraga,Ensamblaje Blanco,Ensamblaje Blanco,10300,No score available,"Amarillo dorado con ribetes verdosos, brillante. Aromas a frutas blancas maduras, pera de agua, chirimoya, flores blancas. En boca es de acidez media, fresco y frutal.",Socio: $9.270,Normal: $10.300,Stock: 32,https://cav.cl/storage/sku_images/28513.jpg,,,,,,,,,,,,,,,
