brand;gender;age;ses;rank
Carmen;HOMBRE;18-24;C3;16
Carmen;MUJER;18-24;C3;16
Carmen;HOMBRE;35-44;D/E;18
Carmen;HOMBRE;25-34;C3;21
Carmen;HOMBRE;45-54;D/E;22
Carmen;HOMBRE;55+;D/E;23
Carmen;OTRO;25-34;C2;24
Carmen;HOMBRE;25-34;ABC1;25
Carmen;HOMBRE;55+;C3;33
Carmen;HOMBRE;18-24;D/E;39
Carmen;OTRO;25-34;ABC1;3
Carmen;HOMBRE;55+;ABC1;4
Carmen;MUJER;13-17;C3;5
Carmen;MUJER;13-17;ABC1;5
Carmen;MUJER;55+;C3;6
Carmen;HOMBRE;45-54;C3;6
Carmen;OTRO;35-44;D/E;6
Carmen;HOMBRE;13-17;ABC1;6
Carmen;HOMBRE;18-24;C2;7
Carmen;HOMBRE;35-44;C3;8
Carmen;MUJER;25-34;ABC1;8
Carmen;HOMBRE;45-54;C2;9
Carmen;HOMBRE;45-54;ABC1;9
Carmen;MUJER;45-54;ABC1;9
Carmen;HOMBRE;55+;C2;11
Carmen;MUJER;13-17;C2;11
Carmen;MUJER;35-44;C2;11
Carmen;MUJER;55+;ABC1;11
Carmen;MUJER;18-24;ABC1;11
Carmen;HOMBRE;18-24;ABC1;11
Carmen;HOMBRE;35-44;ABC1;11
Carmen;MUJER;35-44;ABC1;11
Carmen;MUJER;55+;C2;12
Carmen;OTRO;18-24;C3;12
Carmen;MUJER;35-44;C3;12
Carmen;MUJER;35-44;D/E;12
Carmen;OTRO;18-24;C2;13
Carmen;MUJER;18-24;C2;13
Carmen;HOMBRE;25-34;C2;13
Carmen;MUJER;45-54;C2;13
Carmen;MUJER;25-34;C3;13
Carmen;MUJER;45-54;C3;13
Carmen;MUJER;55+;D/E;13
Carmen;MUJER;18-24;D/E;13
Carmen;OTRO;18-24;D/E;13
Carmen;HOMBRE;25-34;D/E;13
Carmen;MUJER;45-54;D/E;13
Carmen;MUJER;13-17;D/E;14
Carmen;HOMBRE;35-44;C2;15
Carmen;MUJER;25-34;D/E;15
Carmen;MUJER;25-34;C2;16
Carmen;HOMBRE;18-24;C3;16
Carmen;MUJER;18-24;C3;16
Carmen;HOMBRE;35-44;D/E;18
Carmen;HOMBRE;25-34;C3;21
Carmen;HOMBRE;45-54;D/E;22
Carmen;HOMBRE;55+;D/E;23
Carmen;OTRO;25-34;C2;24
Carmen;HOMBRE;25-34;ABC1;25
Carmen;HOMBRE;55+;C3;33
Carmen;HOMBRE;18-24;D/E;39
Casa Donoso;MUJER;55+;C2;66
Casa Donoso;MUJER;18-24;ABC1;77
Casa Donoso;HOMBRE;25-34;C3;83
Casa Donoso;MUJER;18-24;C2;96
Casa Donoso;MUJER;45-54;ABC1;96
Casa Donoso;MUJER;45-54;C2;101
Casa Donoso;MUJER;35-44;ABC1;103
Casa Donoso;MUJER;25-34;C3;109
Casa Donoso;HOMBRE;25-34;C2;138
Casa Donoso;MUJER;25-34;D/E;147
Casa Donoso;MUJER;25-34;C2;167
Casa Donoso;MUJER;35-44;C2;180
Casa Donoso;MUJER;55+;C2;66
Casa Donoso;MUJER;18-24;ABC1;77
Casa Donoso;HOMBRE;25-34;C3;83
Casa Donoso;MUJER;18-24;C2;96
Casa Donoso;MUJER;45-54;ABC1;96
Casa Donoso;MUJER;45-54;C2;101
Casa Donoso;MUJER;35-44;ABC1;103
Casa Donoso;MUJER;25-34;C3;109
Casa Donoso;HOMBRE;25-34;C2;138
Casa Donoso;MUJER;25-34;D/E;147
Casa Donoso;MUJER;25-34;C2;167
Casa Donoso;MUJER;35-44;C2;180
Casa Silva;MUJER;25-34;D/E;8
Casa Silva;HOMBRE;35-44;C3;13
Casa Silva;MUJER;18-24;ABC1;13
Casa Silva;MUJER;13-17;ABC1;14
Casa Silva;HOMBRE;25-34;ABC1;14
Casa Silva;HOMBRE;18-24;C2;15
Casa Silva;HOMBRE;45-54;C2;15
Casa Silva;MUJER;45-54;C3;15
Casa Silva;MUJER;35-44;ABC1;15
Casa Silva;MUJER;35-44;C2;16
Casa Silva;MUJER;45-54;C2;17
Casa Silva;HOMBRE;55+;ABC1;17
Casa Silva;MUJER;25-34;C3;20
Casa Silva;MUJER;55+;D/E;20
Casa Silva;HOMBRE;45-54;ABC1;20
Casa Silva;HOMBRE;18-24;C3;21
Casa Silva;HOMBRE;25-34;D/E;21
Casa Silva;MUJER;18-24;C2;23
Casa Silva;HOMBRE;25-34;C3;23
Casa Silva;MUJER;55+;ABC1;23
Casa Silva;HOMBRE;35-44;ABC1;23
Casa Silva;MUJER;45-54;ABC1;23
Casa Silva;MUJER;18-24;C3;24
Casa Silva;MUJER;45-54;D/E;24
Casa Silva;HOMBRE;35-44;C2;25
Casa Silva;MUJER;25-34;ABC1;25
Casa Silva;HOMBRE;45-54;C3;26
Casa Silva;HOMBRE;18-24;D/E;29
Casa Silva;MUJER;18-24;D/E;31
Casa Silva;HOMBRE;55+;D/E;32
Casa Silva;MUJER;55+;C2;35
Casa Silva;HOMBRE;25-34;C2;35
Casa Silva;MUJER;25-34;C2;37
Casa Silva;HOMBRE;35-44;D/E;37
Casa Silva;MUJER;35-44;C3;47
Casa Silva;HOMBRE;45-54;D/E;55
Casa Silva;MUJER;35-44;D/E;88
Casa Silva;MUJER;25-34;D/E;8
Casa Silva;HOMBRE;35-44;C3;13
Casa Silva;MUJER;18-24;ABC1;13
Casa Silva;MUJER;13-17;ABC1;14
Casa Silva;HOMBRE;25-34;ABC1;14
Casa Silva;HOMBRE;18-24;C2;15
Casa Silva;HOMBRE;45-54;C2;15
Casa Silva;MUJER;45-54;C3;15
Casa Silva;MUJER;35-44;ABC1;15
Casa Silva;MUJER;35-44;C2;16
Casa Silva;MUJER;45-54;C2;17
Casa Silva;HOMBRE;55+;ABC1;17
Casa Silva;MUJER;25-34;C3;20
Casa Silva;MUJER;55+;D/E;20
Casa Silva;HOMBRE;45-54;ABC1;20
Casa Silva;HOMBRE;18-24;C3;21
Casa Silva;HOMBRE;25-34;D/E;21
Casa Silva;MUJER;18-24;C2;23
Casa Silva;HOMBRE;25-34;C3;23
Casa Silva;MUJER;55+;ABC1;23
Casa Silva;HOMBRE;35-44;ABC1;23
Casa Silva;MUJER;45-54;ABC1;23
Casa Silva;MUJER;18-24;C3;24
Casa Silva;MUJER;45-54;D/E;24
Casa Silva;HOMBRE;35-44;C2;25
Casa Silva;MUJER;25-34;ABC1;25
Casa Silva;HOMBRE;45-54;C3;26
Casa Silva;HOMBRE;18-24;D/E;29
Casa Silva;MUJER;18-24;D/E;31
Casa Silva;HOMBRE;55+;D/E;32
Casa Silva;MUJER;55+;C2;35
Casa Silva;HOMBRE;25-34;C2;35
Casa Silva;MUJER;25-34;C2;37
Casa Silva;HOMBRE;35-44;D/E;37
Casa Silva;MUJER;35-44;C3;47
Casa Silva;HOMBRE;45-54;D/E;55
Casa Silva;MUJER;35-44;D/E;88
Casas Del Bosque;OTRO;35-44;C3;12
Casas Del Bosque;HOMBRE;18-24;ABC1;14
Casas Del Bosque;HOMBRE;55+;C3;25
Casas Del Bosque;MUJER;35-44;ABC1;25
Casas Del Bosque;HOMBRE;45-54;ABC1;30
Casas Del Bosque;MUJER;18-24;ABC1;31
Casas Del Bosque;MUJER;55+;ABC1;32
Casas Del Bosque;HOMBRE;25-34;C3;33
Casas Del Bosque;MUJER;18-24;C3;34
Casas Del Bosque;HOMBRE;25-34;D/E;34
Casas Del Bosque;HOMBRE;35-44;D/E;34
Casas Del Bosque;MUJER;55+;D/E;37
Casas Del Bosque;MUJER;45-54;C3;39
Casas Del Bosque;MUJER;45-54;ABC1;42
Casas Del Bosque;MUJER;35-44;D/E;44
Casas Del Bosque;MUJER;25-34;D/E;46
Casas Del Bosque;MUJER;45-54;D/E;46
Casas Del Bosque;HOMBRE;35-44;ABC1;46
Casas Del Bosque;HOMBRE;35-44;C3;47
Casas Del Bosque;MUJER;35-44;C2;49
Casas Del Bosque;HOMBRE;45-54;C2;50
Casas Del Bosque;HOMBRE;35-44;C2;54
Casas Del Bosque;MUJER;35-44;C3;55
Casas Del Bosque;MUJER;55+;C2;56
Casas Del Bosque;HOMBRE;55+;C2;57
Casas Del Bosque;MUJER;25-34;ABC1;65
Casas Del Bosque;MUJER;25-34;C2;70
Casas Del Bosque;MUJER;25-34;C3;78
Casas Del Bosque;MUJER;18-24;C2;82
Casas Del Bosque;MUJER;45-54;C2;82
Casas Del Toqui;HOMBRE;18-24;C2;55
Casas Del Toqui;HOMBRE;35-44;C3;84
Casas Del Toqui;HOMBRE;35-44;D/E;84
Casas Del Toqui;MUJER;25-34;C3;99
Casas Del Toqui;MUJER;35-44;C2;130
Casas Patronales;HOMBRE;18-24;C3;34
Casas Patronales;MUJER;25-34;ABC1;39
Casas Patronales;HOMBRE;18-24;C2;41
Casas Patronales;MUJER;55+;D/E;47
Casas Patronales;HOMBRE;18-24;D/E;47
Casas Patronales;HOMBRE;35-44;D/E;50
Casas Patronales;MUJER;35-44;C2;62
Casas Patronales;MUJER;35-44;C3;107
Casas Patronales;MUJER;35-44;ABC1;130
Casas Patronales;MUJER;25-34;C2;132
Casas Patronales;MUJER;45-54;C2;141
Casas Patronales;MUJER;25-34;D/E;163
Chateau Los Boldos;MUJER;35-44;C3;71
Chateau Los Boldos;HOMBRE;45-54;ABC1;78
Chateau Los Boldos;MUJER;18-24;C2;81
Chateau Los Boldos;HOMBRE;25-34;C3;81
Chateau Los Boldos;MUJER;25-34;ABC1;83
Chateau Los Boldos;HOMBRE;25-34;ABC1;99
Chateau Los Boldos;HOMBRE;35-44;D/E;100
Chateau Los Boldos;HOMBRE;35-44;C2;102
Chateau Los Boldos;MUJER;25-34;C3;102
Chateau Los Boldos;HOMBRE;25-34;C2;113
Chateau Los Boldos;MUJER;45-54;C3;126
Chateau Los Boldos;MUJER;35-44;D/E;140
Chateau Los Boldos;MUJER;35-44;C2;159
Chateau Los Boldos;MUJER;25-34;D/E;164
Concha Y Toro;OTRO;18-24;C2;2
Concha Y Toro;OTRO;45-54;D/E;2
Concha Y Toro;OTRO;45-54;ABC1;2
Concha Y Toro;HOMBRE;18-24;ABC1;4
Concha Y Toro;OTRO;25-34;ABC1;4
Concha Y Toro;MUJER;18-24;C2;5
Concha Y Toro;HOMBRE;25-34;C2;5
Concha Y Toro;HOMBRE;35-44;C2;5
Concha Y Toro;MUJER;35-44;C2;5
Concha Y Toro;MUJER;18-24;C3;5
Concha Y Toro;MUJER;25-34;C3;5
Concha Y Toro;MUJER;35-44;C3;5
Concha Y Toro;OTRO;35-44;C3;5
Concha Y Toro;MUJER;45-54;C3;5
Concha Y Toro;HOMBRE;18-24;D/E;5
Concha Y Toro;MUJER;25-34;D/E;5
Concha Y Toro;MUJER;45-54;D/E;5
Concha Y Toro;MUJER;55+;C2;6
Concha Y Toro;MUJER;25-34;C2;6
Concha Y Toro;HOMBRE;45-54;C2;6
Concha Y Toro;MUJER;45-54;C2;6
Concha Y Toro;HOMBRE;35-44;C3;6
Concha Y Toro;MUJER;18-24;D/E;6
Concha Y Toro;MUJER;35-44;D/E;6
Concha Y Toro;OTRO;18-24;ABC1;6
Concha Y Toro;HOMBRE;55+;C3;7
Concha Y Toro;HOMBRE;25-34;C3;7
Concha Y Toro;MUJER;55+;D/E;7
Concha Y Toro;OTRO;25-34;D/E;7
Concha Y Toro;MUJER;25-34;ABC1;7
Concha Y Toro;HOMBRE;25-34;ABC1;7
Concha Y Toro;MUJER;35-44;ABC1;7
Concha Y Toro;OTRO;35-44;C2;8
Concha Y Toro;MUJER;55+;C3;8
Concha Y Toro;HOMBRE;13-17;C3;8
Concha Y Toro;OTRO;25-34;C3;8
Concha Y Toro;HOMBRE;25-34;D/E;8
Concha Y Toro;HOMBRE;35-44;D/E;8
Concha Y Toro;OTRO;35-44;D/E;8
Concha Y Toro;HOMBRE;55+;ABC1;8
Concha Y Toro;HOMBRE;45-54;ABC1;8
Concha Y Toro;HOMBRE;55+;C2;9
Concha Y Toro;MUJER;13-17;C3;9
Concha Y Toro;HOMBRE;55+;D/E;9
Concha Y Toro;HOMBRE;13-17;C2;10
Concha Y Toro;MUJER;45-54;ABC1;10
Concha Y Toro;HOMBRE;45-54;C3;11
Concha Y Toro;MUJER;13-17;ABC1;11
Concha Y Toro;MUJER;13-17;D/E;12
Concha Y Toro;HOMBRE;45-54;D/E;12
Concha Y Toro;MUJER;18-24;ABC1;12
Concha Y Toro;OTRO;25-34;C2;13
Concha Y Toro;HOMBRE;18-24;C2;14
Concha Y Toro;HOMBRE;35-44;ABC1;14
Concha Y Toro;MUJER;55+;ABC1;20
Concha Y Toro;MUJER;13-17;C2;22
Concha Y Toro;HOMBRE;18-24;C3;23
Concha Y Toro;OTRO;18-24;C2;2
Concha Y Toro;OTRO;45-54;D/E;2
Concha Y Toro;OTRO;45-54;ABC1;2
Concha Y Toro;HOMBRE;18-24;ABC1;4
Concha Y Toro;OTRO;25-34;ABC1;4
Concha Y Toro;MUJER;18-24;C2;5
Concha Y Toro;HOMBRE;25-34;C2;5
Concha Y Toro;HOMBRE;35-44;C2;5
Concha Y Toro;MUJER;35-44;C2;5
Concha Y Toro;MUJER;18-24;C3;5
Concha Y Toro;MUJER;25-34;C3;5
Concha Y Toro;MUJER;35-44;C3;5
Concha Y Toro;OTRO;35-44;C3;5
Concha Y Toro;MUJER;45-54;C3;5
Concha Y Toro;HOMBRE;18-24;D/E;5
Concha Y Toro;MUJER;25-34;D/E;5
Concha Y Toro;MUJER;45-54;D/E;5
Concha Y Toro;MUJER;55+;C2;6
Concha Y Toro;MUJER;25-34;C2;6
Concha Y Toro;HOMBRE;45-54;C2;6
Concha Y Toro;MUJER;45-54;C2;6
Concha Y Toro;HOMBRE;35-44;C3;6
Concha Y Toro;MUJER;18-24;D/E;6
Concha Y Toro;MUJER;35-44;D/E;6
Concha Y Toro;OTRO;18-24;ABC1;6
Concha Y Toro;HOMBRE;55+;C3;7
Concha Y Toro;HOMBRE;25-34;C3;7
Concha Y Toro;MUJER;55+;D/E;7
Concha Y Toro;OTRO;25-34;D/E;7
Concha Y Toro;MUJER;25-34;ABC1;7
Concha Y Toro;HOMBRE;25-34;ABC1;7
Concha Y Toro;MUJER;35-44;ABC1;7
Concha Y Toro;OTRO;35-44;C2;8
Concha Y Toro;MUJER;55+;C3;8
Concha Y Toro;HOMBRE;13-17;C3;8
Concha Y Toro;OTRO;25-34;C3;8
Concha Y Toro;HOMBRE;25-34;D/E;8
Concha Y Toro;HOMBRE;35-44;D/E;8
Concha Y Toro;OTRO;35-44;D/E;8
Concha Y Toro;HOMBRE;55+;ABC1;8
Concha Y Toro;HOMBRE;45-54;ABC1;8
Concha Y Toro;HOMBRE;55+;C2;9
Concha Y Toro;MUJER;13-17;C3;9
Concha Y Toro;HOMBRE;55+;D/E;9
Concha Y Toro;HOMBRE;13-17;C2;10
Concha Y Toro;MUJER;45-54;ABC1;10
Concha Y Toro;HOMBRE;45-54;C3;11
Concha Y Toro;MUJER;13-17;ABC1;11
Concha Y Toro;MUJER;13-17;D/E;12
Concha Y Toro;HOMBRE;45-54;D/E;12
Concha Y Toro;MUJER;18-24;ABC1;12
Concha Y Toro;OTRO;25-34;C2;13
Concha Y Toro;HOMBRE;18-24;C2;14
Concha Y Toro;HOMBRE;35-44;ABC1;14
Concha Y Toro;MUJER;55+;ABC1;20
Concha Y Toro;MUJER;13-17;C2;22
Concha Y Toro;HOMBRE;18-24;C3;23
Cono Sur;OTRO;18-24;C3;7
Cono Sur;OTRO;35-44;C2;10
Cono Sur;MUJER;13-17;C2;15
Cono Sur;MUJER;55+;D/E;17
Cono Sur;MUJER;18-24;ABC1;24
Cono Sur;MUJER;18-24;C2;27
Cono Sur;HOMBRE;45-54;D/E;31
Cono Sur;HOMBRE;45-54;ABC1;32
Cono Sur;HOMBRE;35-44;C3;33
Cono Sur;MUJER;45-54;D/E;40
Cono Sur;MUJER;25-34;D/E;42
Cono Sur;HOMBRE;35-44;D/E;42
Cono Sur;HOMBRE;45-54;C3;45
Cono Sur;MUJER;55+;C2;47
Cono Sur;MUJER;25-34;C3;48
Cono Sur;MUJER;35-44;ABC1;49
Cono Sur;HOMBRE;35-44;C2;50
Cono Sur;HOMBRE;45-54;C2;51
Cono Sur;MUJER;18-24;D/E;52
Cono Sur;HOMBRE;18-24;D/E;54
Cono Sur;MUJER;25-34;ABC1;60
Cono Sur;MUJER;25-34;C2;63
Cono Sur;MUJER;18-24;C3;63
Cono Sur;HOMBRE;25-34;C3;63
Cono Sur;MUJER;35-44;C3;63
Cono Sur;MUJER;55+;C3;67
Cono Sur;HOMBRE;25-34;D/E;67
Cono Sur;HOMBRE;35-44;ABC1;67
Cono Sur;MUJER;45-54;C2;70
Cono Sur;MUJER;35-44;D/E;71
Cono Sur;MUJER;35-44;C2;73
Cono Sur;MUJER;45-54;C3;74
Cono Sur;HOMBRE;25-34;C2;84
Cremaschi Furlotti;HOMBRE;55+;D/E;35
Cremaschi Furlotti;MUJER;45-54;ABC1;48
Cremaschi Furlotti;HOMBRE;18-24;ABC1;50
Cremaschi Furlotti;HOMBRE;25-34;D/E;60
Cremaschi Furlotti;MUJER;25-34;C3;61
Cremaschi Furlotti;HOMBRE;25-34;ABC1;65
Cremaschi Furlotti;HOMBRE;18-24;C3;69
Cremaschi Furlotti;HOMBRE;45-54;D/E;75
Cremaschi Furlotti;MUJER;35-44;ABC1;82
Cremaschi Furlotti;HOMBRE;35-44;C2;85
Cremaschi Furlotti;MUJER;25-34;D/E;86
Cremaschi Furlotti;MUJER;35-44;D/E;117
Cremaschi Furlotti;MUJER;45-54;C3;118
Cremaschi Furlotti;MUJER;25-34;C2;129
Cremaschi Furlotti;HOMBRE;25-34;C2;131
Cremaschi Furlotti;HOMBRE;35-44;ABC1;133
Cremaschi Furlotti;MUJER;45-54;C2;145
Cremaschi Furlotti;MUJER;35-44;C3;155
Do‹ÔA Paula;MUJER;18-24;C3;13
Do‹ÔA Paula;HOMBRE;45-54;C3;66
Do‹ÔA Paula;MUJER;45-54;ABC1;90
Do‹ÔA Paula;HOMBRE;25-34;D/E;97
Do‹ÔA Paula;MUJER;45-54;D/E;98
Do‹ÔA Paula;MUJER;25-34;C2;122
Do‹ÔA Paula;MUJER;25-34;C3;127
Do‹ÔA Paula;MUJER;45-54;C2;132
Do‹ÔA Paula;HOMBRE;35-44;ABC1;138
Do‹ÔA Paula;MUJER;25-34;D/E;148
Do‹ÔA Paula;HOMBRE;35-44;C2;153
Do‹ÔA Paula;MUJER;35-44;C2;163
Emiliana;OTRO;18-24;ABC1;2
Emiliana;OTRO;35-44;C2;4
Emiliana;HOMBRE;13-17;ABC1;8
Emiliana;MUJER;55+;D/E;15
Emiliana;HOMBRE;25-34;C2;22
Emiliana;MUJER;35-44;C2;27
Emiliana;MUJER;45-54;ABC1;27
Emiliana;HOMBRE;18-24;C2;28
