url_product,product_internal_id,product_code,product_name,product_brand,product_category,variant,price,cav_points,description,member_price,normal_price,stock,image_url,vinyard,strain,harvest,origin,line,format,type,alcohol_degrees,blend,guard,pairing,Cuerpo,Frescor,Dulzura,Astringencia
https://www.cav.cl/tienda/producto/ventisquero-kalfu-sumpai-pinot-noir-2016-27845,11976,27845,Ventisquero Kalfu Sumpai Pinot Noir 2016,Kalfu,Tinto,Pinot Noir,11390,No score available,"Rojo rubí algo teja. Nariz a frutilla, hojas de tabaco, pimienta negra. En la boca es jugoso, de cuerpo medio. Sabroso.",Socio: $11.390,Normal: $16.990,Stock: 19,https://cav.cl/storage/sku_images/27845.jpg,Kalfu,Pinot Noir,2016,Leyda,Premium,750 Cc,Tinto,,,,"Carnes Rojas, Cerdo.",,,,
https://www.cav.cl/tienda/producto/ventisquero-kalfu-sumpai-pinot-noir-2017-25564,10475,25564,Ventisquero Kalfu Sumpai Pinot Noir 2017,Kalfu,Tinto,Pinot Noir,16990,94,"Rojo rubí algo teja. Nariz a frutilla, hojas de tabaco, pimienta negra. En la boca es jugoso, de cuerpo medio. Sabroso.",Socio: $15.291,Normal: $16.990,Stock: 6,https://cav.cl/storage/sku_images/25564.jpg,Kalfu,Pinot Noir,2017,Leyda,Premium,750 Cc,Tinto,13.5°,PN,Guardar 3 años,"Carnes Rojas, Cerdo.",0.6,0.4,0.8,0.6
https://www.cav.cl/tienda/producto/ventisquero-obliqua-carmenere-2020-en-caja-de-madera-31388,14203,31388,Ventisquero Obliqua Carmenere 2020 En Caja De Madera,Ventisquero,Tinto,Carmenere,47000,No score available,,Socio: $42.300,Normal: $47.000,Stock: 9,https://cav.cl/storage/sku_images/31388.jpg,Ventisquero,Carmenere,2020,Colchagua,Icono,750 Cc,Tinto,,,,,,,,
https://www.cav.cl/tienda/producto/ventisquero-pangea-syrah-2015-26503,11024,26503,Ventisquero Pangea Syrah 2015,Ventisquero,Tinto,Syrah,47000,94,"Rojo púrpura. Aromas a frutas rojas y negras, guindas, moras, cerezas, pimienta negra, mentol, algo floral. En boca mantiene una acidez alta, con un tanino frutal, algo de piedra de fusil y granito.",Socio: $42.300,Normal: $47.000,Stock: 1,https://cav.cl/storage/sku_images/26503.jpg,Ventisquero,Syrah,2015,Colchagua,Icono,750 Cc,Tinto,14.5°,SY,Guardar 3 años,"Carnes de Caza, Cordero.",1,1,0.4,0.4
https://www.cav.cl/tienda/producto/ventisquero-pangea-syrah-2016-28829,12757,28829,Ventisquero Pangea Syrah 2016,Ventisquero,Tinto,Syrah,47000,95,"Rojo cereza oscuro con violeta. Aromas de fruta roja, cereza madura, suaves especias, medio tostado. Boca compacta, frutal, de textura tersa, tiza, persistente.",Socio: $42.300,Normal: $47.000,Stock: 21,https://cav.cl/storage/sku_images/28829.jpg,Ventisquero,Syrah,2016,Colchagua,Icono,750 Cc,Tinto,13.5°,SY,Guardar 1 año,"Carnes Rojas, Cerdo.",0.6,0.8,0.6,0.6
https://www.cav.cl/tienda/producto/ventisquero-queulat-cabernet-sauvignon-gran-reserva-2019-29039,12901,29039,Ventisquero Queulat Cabernet Sauvignon Gran Reserva 2019,Ventisquero,Tinto,Cabernet Sauvignon,8990,No score available,,Socio: $8.091,Normal: $8.990,Stock: 11,https://cav.cl/storage/sku_images/29039.jpg,Ventisquero,Cabernet Sauvignon,2019,Maipo,Gran Reserva,750 Cc,Tinto,,,,,,,,
https://www.cav.cl/tienda/producto/ventisquero-queulat-syrah-gran-reserva-2019-29041,12903,29041,Ventisquero Queulat Syrah Gran Reserva 2019,Ventisquero,Tinto,Syrah,8990,91,,Socio: $8.091,Normal: $8.990,Stock: 35,https://cav.cl/storage/sku_images/29041.jpg,Ventisquero,Syrah,2019,Maipo,Gran Reserva,750 Cc,Tinto,,,,,,,,
https://www.cav.cl/tienda/producto/ventisquero-vertice-2021-en-caja-de-madera-31391,14206,31391,Ventisquero Vertice 2021 En Caja De Madera,Ventisquero,Ensamblaje Tinto,Ensamblaje Tinto,27990,No score available,"Cereza oscuro con ribetes morados. Aromas frutales, cereza, frambuesa, frutilla, notas tostadas, cuero, madera, café. En boca es de acidez media, tanino especiado y frutal.",Socio: $25.191,Normal: $27.990,Stock: 10,https://cav.cl/storage/sku_images/31391.jpg,Ventisquero,Ensamblaje Tinto,2021,Colchagua,Super Premium,750 Cc,Ensamblaje Tinto,,,,"Carnes Rojas, Cordero.",,,,
https://www.cav.cl/tienda/producto/veramonte-carmenere-gran-reserva-2020-29636,13350,29636,Veramonte Carmenere Gran Reserva 2020,Veramonte,Tinto,Carmenere,10990,No score available,,Socio: $9.891,Normal: $10.990,Stock: 11,https://cav.cl/storage/sku_images/29636.jpg,Veramonte,Carmenere,2020,Colchagua,Gran Reserva,750 Cc,Tinto,,,,,,,,
https://www.cav.cl/tienda/producto/veramonte-primus-the-blend-2019-29752,13396,29752,Veramonte Primus The Blend 2019,Veramonte,Ensamblaje Tinto,Ensamblaje Tinto,16990,No score available,,Socio: $15.291,Normal: $16.990,Stock: 6,https://cav.cl/storage/sku_images/29752.jpg,Veramonte,Ensamblaje Tinto,2019,"Colchagua, Apalta",Premium,750 Cc,Ensamblaje Tinto,,,,,,,,
