brand,gender,age,ses,rank
CARMEN,MUJER,35-44,ABC1,11
CARMEN,MUJER,55-75,C2,12
CARMEN,OTRO,18-24,C3,12
CARMEN,MUJER,35-44,C3,12
CARMEN,MUJER,35-44,D/E,12
CARMEN,OTRO,18-24,C2,13
CARMEN,MUJER,18-24,C2,13
CARMEN,HOMBRE,25-34,C2,13
CARMEN,MUJER,45-54,C2,13
CARMEN,MUJER,25-34,C3,13
CARMEN,MUJER,45-54,C3,13
CARMEN,MUJER,55-75,D/E,13
CARMEN,MUJER,18-24,D/E,13
CARMEN,OTRO,18-24,D/E,13
CARMEN,HOMBRE,25-34,D/E,13
CARMEN,MUJER,45-54,D/E,13
CARMEN,MUJER,13-17,D/E,14
CARMEN,HOMBRE,35-44,C2,15
CARMEN,MUJER,25-34,D/E,15
CARMEN,MUJER,25-34,C2,16
CARMEN,HOMBRE,18-24,C3,16
CARMEN,MUJER,18-24,C3,16
CARMEN,HOMBRE,35-44,D/E,18
CARMEN,HOMBRE,25-34,C3,21
CARMEN,HOMBRE,45-54,D/E,22
CARMEN,HOMBRE,55-75,D/E,23
CARMEN,OTRO,25-34,C2,24
CARMEN,HOMBRE,25-34,ABC1,25
CARMEN,HOMBRE,55-75,C3,33
CARMEN,HOMBRE,18-24,D/E,39
CASA DONOSO,MUJER,55-75,C2,66
CASA DONOSO,MUJER,18-24,ABC1,77
CASA DONOSO,HOMBRE,25-34,C3,83
CASA DONOSO,MUJER,18-24,C2,96
CASA DONOSO,MUJER,45-54,ABC1,96
CASA DONOSO,MUJER,45-54,C2,101
CASA DONOSO,MUJER,35-44,ABC1,103
CASA DONOSO,MUJER,25-34,C3,109
CASA DONOSO,HOMBRE,25-34,C2,138
CASA DONOSO,MUJER,25-34,D/E,147
CASA DONOSO,MUJER,25-34,C2,167
CASA DONOSO,MUJER,35-44,C2,180
CASA DONOSO,MUJER,55-75,C2,66
CASA DONOSO,MUJER,18-24,ABC1,77
CASA DONOSO,HOMBRE,25-34,C3,83
CASA DONOSO,MUJER,18-24,C2,96
CASA DONOSO,MUJER,45-54,ABC1,96
CASA DONOSO,MUJER,45-54,C2,101
CASA DONOSO,MUJER,35-44,ABC1,103
CASA DONOSO,MUJER,25-34,C3,109
CASA DONOSO,HOMBRE,25-34,C2,138
CASA DONOSO,MUJER,25-34,D/E,147
CASA DONOSO,MUJER,25-34,C2,167
CASA DONOSO,MUJER,35-44,C2,180
CASA SILVA,MUJER,25-34,D/E,8
CASA SILVA,HOMBRE,35-44,C3,13
CASA SILVA,MUJER,18-24,ABC1,13
CASA SILVA,MUJER,13-17,ABC1,14
CASA SILVA,HOMBRE,25-34,ABC1,14
CASA SILVA,HOMBRE,18-24,C2,15
CASA SILVA,HOMBRE,45-54,C2,15
CASA SILVA,MUJER,45-54,C3,15
CASA SILVA,MUJER,35-44,ABC1,15
CASA SILVA,MUJER,35-44,C2,16
CASA SILVA,MUJER,45-54,C2,17
CASA SILVA,HOMBRE,55-75,ABC1,17
CASA SILVA,MUJER,25-34,C3,20
CASA SILVA,MUJER,55-75,D/E,20
CASA SILVA,HOMBRE,45-54,ABC1,20
CASA SILVA,HOMBRE,18-24,C3,21
CASA SILVA,HOMBRE,25-34,D/E,21
CASA SILVA,MUJER,18-24,C2,23
CASA SILVA,HOMBRE,25-34,C3,23
CASA SILVA,MUJER,55-75,ABC1,23
CASA SILVA,HOMBRE,35-44,ABC1,23
CASA SILVA,MUJER,45-54,ABC1,23
CASA SILVA,MUJER,18-24,C3,24
CASA SILVA,MUJER,45-54,D/E,24
CASA SILVA,HOMBRE,35-44,C2,25
CASA SILVA,MUJER,25-34,ABC1,25
CASA SILVA,HOMBRE,45-54,C3,26
CASA SILVA,HOMBRE,18-24,D/E,29
CASA SILVA,MUJER,18-24,D/E,31
CASA SILVA,HOMBRE,55-75,D/E,32
CASA SILVA,MUJER,55-75,C2,35
CASA SILVA,HOMBRE,25-34,C2,35
CASA SILVA,MUJER,25-34,C2,37
CASA SILVA,HOMBRE,35-44,D/E,37
CASA SILVA,MUJER,35-44,C3,47
CASA SILVA,HOMBRE,45-54,D/E,55
CASA SILVA,MUJER,35-44,D/E,88
CASA SILVA,MUJER,25-34,D/E,8
CASA SILVA,HOMBRE,35-44,C3,13
CASA SILVA,MUJER,18-24,ABC1,13
CASA SILVA,MUJER,13-17,ABC1,14
CASA SILVA,HOMBRE,25-34,ABC1,14
CASA SILVA,HOMBRE,18-24,C2,15
CASA SILVA,HOMBRE,45-54,C2,15
CASA SILVA,MUJER,45-54,C3,15
CASA SILVA,MUJER,35-44,ABC1,15
CASA SILVA,MUJER,35-44,C2,16
CASA SILVA,MUJER,45-54,C2,17
CASA SILVA,HOMBRE,55-75,ABC1,17
CASA SILVA,MUJER,25-34,C3,20
CASA SILVA,MUJER,55-75,D/E,20
CASA SILVA,HOMBRE,45-54,ABC1,20
CASA SILVA,HOMBRE,18-24,C3,21
CASA SILVA,HOMBRE,25-34,D/E,21
CASA SILVA,MUJER,18-24,C2,23
CASA SILVA,HOMBRE,25-34,C3,23
CASA SILVA,MUJER,55-75,ABC1,23
CASA SILVA,HOMBRE,35-44,ABC1,23
CASA SILVA,MUJER,45-54,ABC1,23
CASA SILVA,MUJER,18-24,C3,24
CASA SILVA,MUJER,45-54,D/E,24
CASA SILVA,HOMBRE,35-44,C2,25
CASA SILVA,MUJER,25-34,ABC1,25
CASA SILVA,HOMBRE,45-54,C3,26
CASA SILVA,HOMBRE,18-24,D/E,29
CASA SILVA,MUJER,18-24,D/E,31
CASA SILVA,HOMBRE,55-75,D/E,32
CASA SILVA,MUJER,55-75,C2,35
CASA SILVA,HOMBRE,25-34,C2,35
CASA SILVA,MUJER,25-34,C2,37
CASA SILVA,HOMBRE,35-44,D/E,37
CASA SILVA,MUJER,35-44,C3,47
CASA SILVA,HOMBRE,45-54,D/E,55
CASA SILVA,MUJER,35-44,D/E,88
CASAS DEL BOSQUE,OTRO,35-44,C3,12
CASAS DEL BOSQUE,HOMBRE,18-24,ABC1,14
CASAS DEL BOSQUE,HOMBRE,55-75,C3,25
CASAS DEL BOSQUE,MUJER,35-44,ABC1,25
CASAS DEL BOSQUE,HOMBRE,45-54,ABC1,30
CASAS DEL BOSQUE,MUJER,18-24,ABC1,31
CASAS DEL BOSQUE,MUJER,55-75,ABC1,32
CASAS DEL BOSQUE,HOMBRE,25-34,C3,33
CASAS DEL BOSQUE,MUJER,18-24,C3,34
CASAS DEL BOSQUE,HOMBRE,25-34,D/E,34
CASAS DEL BOSQUE,HOMBRE,35-44,D/E,34
CASAS DEL BOSQUE,MUJER,55-75,D/E,37
CASAS DEL BOSQUE,MUJER,45-54,C3,39
CASAS DEL BOSQUE,MUJER,45-54,ABC1,42
CASAS DEL BOSQUE,MUJER,35-44,D/E,44
CASAS DEL BOSQUE,MUJER,25-34,D/E,46
CASAS DEL BOSQUE,MUJER,45-54,D/E,46
CASAS DEL BOSQUE,HOMBRE,35-44,ABC1,46
CASAS DEL BOSQUE,HOMBRE,35-44,C3,47
CASAS DEL BOSQUE,MUJER,35-44,C2,49
CASAS DEL BOSQUE,HOMBRE,45-54,C2,50
CASAS DEL BOSQUE,HOMBRE,35-44,C2,54
CASAS DEL BOSQUE,MUJER,35-44,C3,55
CASAS DEL BOSQUE,MUJER,55-75,C2,56
CASAS DEL BOSQUE,HOMBRE,55-75,C2,57
CASAS DEL BOSQUE,MUJER,25-34,ABC1,65
CASAS DEL BOSQUE,MUJER,25-34,C2,70
CASAS DEL BOSQUE,MUJER,25-34,C3,78
CASAS DEL BOSQUE,MUJER,18-24,C2,82
CASAS DEL BOSQUE,MUJER,45-54,C2,82
CASAS DEL TOQUI,HOMBRE,18-24,C2,55
CASAS DEL TOQUI,HOMBRE,35-44,C3,84
CASAS DEL TOQUI,HOMBRE,35-44,D/E,84
CASAS DEL TOQUI,MUJER,25-34,C3,99
CASAS DEL TOQUI,MUJER,35-44,C2,130
CASAS PATRONALES,HOMBRE,18-24,C3,34
CASAS PATRONALES,MUJER,25-34,ABC1,39
CASAS PATRONALES,HOMBRE,18-24,C2,41
CASAS PATRONALES,MUJER,55-75,D/E,47
CASAS PATRONALES,HOMBRE,18-24,D/E,47
CASAS PATRONALES,HOMBRE,35-44,D/E,50
CASAS PATRONALES,MUJER,35-44,C2,62
CASAS PATRONALES,MUJER,35-44,C3,107
CASAS PATRONALES,MUJER,35-44,ABC1,130
CASAS PATRONALES,MUJER,25-34,C2,132
CASAS PATRONALES,MUJER,45-54,C2,141
CASAS PATRONALES,MUJER,25-34,D/E,163
CHATEAU LOS BOLDOS,MUJER,35-44,C3,71
CHATEAU LOS BOLDOS,HOMBRE,45-54,ABC1,78
CHATEAU LOS BOLDOS,MUJER,18-24,C2,81
CHATEAU LOS BOLDOS,HOMBRE,25-34,C3,81
CHATEAU LOS BOLDOS,MUJER,25-34,ABC1,83
CHATEAU LOS BOLDOS,HOMBRE,25-34,ABC1,99
CHATEAU LOS BOLDOS,HOMBRE,35-44,D/E,100
CHATEAU LOS BOLDOS,HOMBRE,35-44,C2,102
CHATEAU LOS BOLDOS,MUJER,25-34,C3,102
CHATEAU LOS BOLDOS,HOMBRE,25-34,C2,113
CHATEAU LOS BOLDOS,MUJER,45-54,C3,126
CHATEAU LOS BOLDOS,MUJER,35-44,D/E,140
CHATEAU LOS BOLDOS,MUJER,35-44,C2,159
CHATEAU LOS BOLDOS,MUJER,25-34,D/E,164
CONCHA Y TORO,OTRO,18-24,C2,2
CONCHA Y TORO,OTRO,45-54,D/E,2
CONCHA Y TORO,OTRO,45-54,ABC1,2
CONCHA Y TORO,HOMBRE,18-24,ABC1,4
CONCHA Y TORO,OTRO,25-34,ABC1,4
CONCHA Y TORO,MUJER,18-24,C2,5
CONCHA Y TORO,HOMBRE,25-34,C2,5
CONCHA Y TORO,HOMBRE,35-44,C2,5
CONCHA Y TORO,MUJER,35-44,C2,5
CONCHA Y TORO,MUJER,18-24,C3,5
CONCHA Y TORO,MUJER,25-34,C3,5
CONCHA Y TORO,MUJER,35-44,C3,5
CONCHA Y TORO,OTRO,35-44,C3,5
CONCHA Y TORO,MUJER,45-54,C3,5
CONCHA Y TORO,HOMBRE,18-24,D/E,5
CONCHA Y TORO,MUJER,25-34,D/E,5
CONCHA Y TORO,MUJER,45-54,D/E,5
CONCHA Y TORO,MUJER,55-75,C2,6
CONCHA Y TORO,MUJER,25-34,C2,6
CONCHA Y TORO,HOMBRE,45-54,C2,6
CONCHA Y TORO,MUJER,45-54,C2,6
CONCHA Y TORO,HOMBRE,35-44,C3,6
CONCHA Y TORO,MUJER,18-24,D/E,6
CONCHA Y TORO,MUJER,35-44,D/E,6
CONCHA Y TORO,OTRO,18-24,ABC1,6
CONCHA Y TORO,HOMBRE,55-75,C3,7
CONCHA Y TORO,HOMBRE,25-34,C3,7
CONCHA Y TORO,MUJER,55-75,D/E,7
CONCHA Y TORO,OTRO,25-34,D/E,7
CONCHA Y TORO,MUJER,25-34,ABC1,7
CONCHA Y TORO,HOMBRE,25-34,ABC1,7
CONCHA Y TORO,MUJER,35-44,ABC1,7
CONCHA Y TORO,OTRO,35-44,C2,8
CONCHA Y TORO,MUJER,55-75,C3,8
CONCHA Y TORO,HOMBRE,13-17,C3,8
CONCHA Y TORO,OTRO,25-34,C3,8
CONCHA Y TORO,HOMBRE,25-34,D/E,8
CONCHA Y TORO,HOMBRE,35-44,D/E,8
CONCHA Y TORO,OTRO,35-44,D/E,8
CONCHA Y TORO,HOMBRE,55-75,ABC1,8
CONCHA Y TORO,HOMBRE,45-54,ABC1,8
CONCHA Y TORO,HOMBRE,55-75,C2,9
CONCHA Y TORO,MUJER,13-17,C3,9
CONCHA Y TORO,HOMBRE,55-75,D/E,9
CONCHA Y TORO,HOMBRE,13-17,C2,10
CONCHA Y TORO,MUJER,45-54,ABC1,10
CONCHA Y TORO,HOMBRE,45-54,C3,11
CONCHA Y TORO,MUJER,13-17,ABC1,11
CONCHA Y TORO,MUJER,13-17,D/E,12
CONCHA Y TORO,HOMBRE,45-54,D/E,12
CONCHA Y TORO,MUJER,18-24,ABC1,12
CONCHA Y TORO,OTRO,25-34,C2,13
CONCHA Y TORO,HOMBRE,18-24,C2,14
CONCHA Y TORO,HOMBRE,35-44,ABC1,14
CONCHA Y TORO,MUJER,55-75,ABC1,20
CONCHA Y TORO,MUJER,13-17,C2,22
CONCHA Y TORO,HOMBRE,18-24,C3,23
CONCHA Y TORO,OTRO,18-24,C2,2
CONCHA Y TORO,OTRO,45-54,D/E,2
CONCHA Y TORO,OTRO,45-54,ABC1,2
CONCHA Y TORO,HOMBRE,18-24,ABC1,4
CONCHA Y TORO,OTRO,25-34,ABC1,4
CONCHA Y TORO,MUJER,18-24,C2,5
CONCHA Y TORO,HOMBRE,25-34,C2,5
CONCHA Y TORO,HOMBRE,35-44,C2,5
CONCHA Y TORO,MUJER,35-44,C2,5
CONCHA Y TORO,MUJER,18-24,C3,5
CONCHA Y TORO,MUJER,25-34,C3,5
CONCHA Y TORO,MUJER,35-44,C3,5
CONCHA Y TORO,OTRO,35-44,C3,5
CONCHA Y TORO,MUJER,45-54,C3,5
CONCHA Y TORO,HOMBRE,18-24,D/E,5
CONCHA Y TORO,MUJER,25-34,D/E,5
CONCHA Y TORO,MUJER,45-54,D/E,5
CONCHA Y TORO,MUJER,55-75,C2,6
CONCHA Y TORO,MUJER,25-34,C2,6
CONCHA Y TORO,HOMBRE,45-54,C2,6
CONCHA Y TORO,MUJER,45-54,C2,6
CONCHA Y TORO,HOMBRE,35-44,C3,6
CONCHA Y TORO,MUJER,18-24,D/E,6
CONCHA Y TORO,MUJER,35-44,D/E,6
CONCHA Y TORO,OTRO,18-24,ABC1,6
CONCHA Y TORO,HOMBRE,55-75,C3,7
CONCHA Y TORO,HOMBRE,25-34,C3,7
CONCHA Y TORO,MUJER,55-75,D/E,7
CONCHA Y TORO,OTRO,25-34,D/E,7
CONCHA Y TORO,MUJER,25-34,ABC1,7
CONCHA Y TORO,HOMBRE,25-34,ABC1,7
CONCHA Y TORO,MUJER,35-44,ABC1,7
CONCHA Y TORO,OTRO,35-44,C2,8
CONCHA Y TORO,MUJER,55-75,C3,8
CONCHA Y TORO,HOMBRE,13-17,C3,8
CONCHA Y TORO,OTRO,25-34,C3,8
CONCHA Y TORO,HOMBRE,25-34,D/E,8
CONCHA Y TORO,HOMBRE,35-44,D/E,8
CONCHA Y TORO,OTRO,35-44,D/E,8
CONCHA Y TORO,HOMBRE,55-75,ABC1,8
CONCHA Y TORO,HOMBRE,45-54,ABC1,8
CONCHA Y TORO,HOMBRE,55-75,C2,9
CONCHA Y TORO,MUJER,13-17,C3,9
CONCHA Y TORO,HOMBRE,55-75,D/E,9
CONCHA Y TORO,HOMBRE,13-17,C2,10
CONCHA Y TORO,MUJER,45-54,ABC1,10
CONCHA Y TORO,HOMBRE,45-54,C3,11
CONCHA Y TORO,MUJER,13-17,ABC1,11
CONCHA Y TORO,MUJER,13-17,D/E,12
CONCHA Y TORO,HOMBRE,45-54,D/E,12
CONCHA Y TORO,MUJER,18-24,ABC1,12
CONCHA Y TORO,OTRO,25-34,C2,13
CONCHA Y TORO,HOMBRE,18-24,C2,14
CONCHA Y TORO,HOMBRE,35-44,ABC1,14
CONCHA Y TORO,MUJER,55-75,ABC1,20
CONCHA Y TORO,MUJER,13-17,C2,22
CONCHA Y TORO,HOMBRE,18-24,C3,23
CONO SUR,OTRO,18-24,C3,7
CONO SUR,OTRO,35-44,C2,10
CONO SUR,MUJER,13-17,C2,15
CONO SUR,MUJER,55-75,D/E,17
CONO SUR,MUJER,18-24,ABC1,24
CONO SUR,MUJER,18-24,C2,27
CONO SUR,HOMBRE,45-54,D/E,31
CONO SUR,HOMBRE,45-54,ABC1,32
CONO SUR,HOMBRE,35-44,C3,33
CONO SUR,MUJER,45-54,D/E,40
CONO SUR,MUJER,25-34,D/E,42
CONO SUR,HOMBRE,35-44,D/E,42
CONO SUR,HOMBRE,45-54,C3,45
CONO SUR,MUJER,55-75,C2,47
CONO SUR,MUJER,25-34,C3,48
CONO SUR,MUJER,35-44,ABC1,49
CONO SUR,HOMBRE,35-44,C2,50
CONO SUR,HOMBRE,45-54,C2,51
CONO SUR,MUJER,18-24,D/E,52
CONO SUR,HOMBRE,18-24,D/E,54
CONO SUR,MUJER,25-34,ABC1,60
CONO SUR,MUJER,25-34,C2,63
CONO SUR,MUJER,18-24,C3,63
CONO SUR,HOMBRE,25-34,C3,63
CONO SUR,MUJER,35-44,C3,63
CONO SUR,MUJER,55-75,C3,67
CONO SUR,HOMBRE,25-34,D/E,67
CONO SUR,HOMBRE,35-44,ABC1,67
CONO SUR,MUJER,45-54,C2,70
CONO SUR,MUJER,35-44,D/E,71
CONO SUR,MUJER,35-44,C2,73
CONO SUR,MUJER,45-54,C3,74
CONO SUR,HOMBRE,25-34,C2,84
CREMASCHI FURLOTTI,HOMBRE,55-75,D/E,35
CREMASCHI FURLOTTI,MUJER,45-54,ABC1,48
CREMASCHI FURLOTTI,HOMBRE,18-24,ABC1,50
CREMASCHI FURLOTTI,HOMBRE,25-34,D/E,60
CREMASCHI FURLOTTI,MUJER,25-34,C3,61
CREMASCHI FURLOTTI,HOMBRE,25-34,ABC1,65
CREMASCHI FURLOTTI,HOMBRE,18-24,C3,69
CREMASCHI FURLOTTI,HOMBRE,45-54,D/E,75
CREMASCHI FURLOTTI,MUJER,35-44,ABC1,82
CREMASCHI FURLOTTI,HOMBRE,35-44,C2,85
CREMASCHI FURLOTTI,MUJER,25-34,D/E,86
