variant,pairing
San Francisco, Frijoles Negos
Sauvignon Blanc, Chevre
Sauvignon Gris, Chevre
Semillon, Chevre
Shiraz, Frijoles Negos
Syrah, Frijoles Negos
Tempranillo, Tofu
Torontel, Gruyere
Viognier, Mozzarela
Aglianico, Frijoles Blancos
Barbera, Muenster
Cabernet Franc, Muenster
Cabernet Sauvignon, Frijoles Blancos
Carignan, Muenster
Carmenere, Muenster
Chardonnay, Scamorza
Cinsault, Seitan
Ensamblaje Blanco, Scamorza
Ensamblaje Tinto, Frijoles Blancos
Espumoso, Cottage
Garnacha, Seitan
Garnacha Blanca, Scamorza
Gewurztraminer, Comte
Glera, Cottage
Grenache, Muenster
Malbec, Frijoles Blancos
Marselan, Frijoles Blancos
Merlot, Muenster
Montepulciano, Muenster
Moscatel Blanca, Comte
Moscatel De Alejandria, Cottage
Mourvedre, Frijoles Blancos
Pais, Frijoles Blancos
Petit Verdot, Muenster
Petite Sirah, Frijoles Blancos
Pinot Grigio, Cottage
Pinot Noir, Seitan
Riesling, Comte
Romano, Frijoles Blancos
Rose, Salami
San Francisco, Frijoles Blancos
Sauvignon Blanc, Cottage
Sauvignon Gris, Cottage
Semillon, Cottage
Shiraz, Frijoles Blancos
Syrah, Frijoles Blancos
Tempranillo, Seitan
Torontel, Comte
Viognier, Scamorza
Aglianico, Lenteja
Barbera, Parmesano
Cabernet Franc, Parmesano
Cabernet Sauvignon, Lenteja
Carignan, Parmesano
Carmenere, Parmesano
Chardonnay, Langosta
Cinsault, Cebolla
Ensamblaje Blanco, Langosta
Ensamblaje Tinto, Lenteja
Espumoso, Brie
Garnacha, Cebolla
Garnacha Blanca, Langosta
Gewurztraminer, Provolone
Glera, Brie
Grenache, Parmesano
Malbec, Lenteja
Marselan, Lenteja
Merlot, Parmesano
Montepulciano, Parmesano
Moscatel Blanca, Provolone
Moscatel De Alejandria, Brie
Mourvedre, Lenteja
Pais, Lenteja
Petit Verdot, Parmesano
Petite Sirah, Lenteja
Pinot Grigio, Brie
Pinot Noir, Cebolla
Riesling, Provolone
Romano, Lenteja
Rose, Tocineta
San Francisco, Lenteja
Sauvignon Blanc, Brie
Sauvignon Gris, Brie
Semillon, Brie
Shiraz, Lenteja
Syrah, Lenteja
Tempranillo, Cebolla
Torontel, Provolone
Viognier, Langosta
Aglianico, Cilantro
Barbera, Grada Padano
Cabernet Franc, Grada Padano
Cabernet Sauvignon, Cilantro
Carignan, Grada Padano
Carmenere, Grada Padano
Chardonnay, Cangrejo
Cinsault, Ajo
Ensamblaje Blanco, Cangrejo
Ensamblaje Tinto, Cilantro
Espumoso, Camembert
Garnacha, Ajo
Garnacha Blanca, Cangrejo
Gewurztraminer, Edamental
Glera, Camembert
Grenache, Grada Padano
Malbec, Cilantro
Marselan, Cilantro
Merlot, Grada Padano
Montepulciano, Grada Padano
Moscatel Blanca, Edamental
Moscatel De Alejandria, Camembert
Mourvedre, Cilantro
Pais, Cilantro
Petit Verdot, Grada Padano
Petite Sirah, Cilantro
Pinot Grigio, Camembert
Pinot Noir, Ajo
Riesling, Edamental
Romano, Cilantro
Rose, Charcuteria
San Francisco, Cilantro
Sauvignon Blanc, Camembert
Sauvignon Gris, Camembert
Semillon, Camembert
Shiraz, Cilantro
Syrah, Cilantro
Tempranillo, Ajo
Torontel, Edamental
Viognier, Cangrejo
Aglianico, Comino
Barbera, Pecorino
Cabernet Franc, Pecorino
Cabernet Sauvignon, Comino
Carignan, Pecorino
Carmenere, Pecorino
Chardonnay, Camarones
Cinsault, Chalota
Ensamblaje Blanco, Camarones
Ensamblaje Tinto, Comino
Espumoso, Epoisses
Garnacha, Chalota
Garnacha Blanca, Camarones
Gewurztraminer, Mozzarela
Glera, Epoisses
Grenache, Pecorino
Malbec, Comino
Marselan, Comino
Merlot, Pecorino
Montepulciano, Pecorino
Moscatel Blanca, Mozzarela
Moscatel De Alejandria, Epoisses
Mourvedre, Comino
Pais, Comino
Petit Verdot, Pecorino
Petite Sirah, Comino
Pinot Grigio, Epoisses
Pinot Noir, Chalota
Riesling, Mozzarela
Romano, Comino
Rose, Jamon
San Francisco, Comino
Sauvignon Blanc, Epoisses
Sauvignon Gris, Epoisses
Semillon, Epoisses
Shiraz, Comino
Syrah, Comino
Tempranillo, Chalota
Torontel, Mozzarela
Viognier, Camarones
Aglianico, Curcuma
Barbera, Asiago
Cabernet Franc, Asiago
Cabernet Sauvignon, Curcuma
Carignan, Asiago
Carmenere, Asiago
Chardonnay, Pollo
Cinsault, Hongos
Ensamblaje Blanco, Pollo
Ensamblaje Tinto, Curcuma
Espumoso, Burrata
Garnacha, Hongos
Garnacha Blanca, Pollo
Gewurztraminer, Scamorza
Glera, Burrata
Grenache, Asiago
Malbec, Curcuma
Marselan, Curcuma
Merlot, Asiago
Montepulciano, Asiago
Moscatel Blanca, Scamorza
Moscatel De Alejandria, Burrata
Mourvedre, Curcuma
Pais, Curcuma
Petit Verdot, Asiago
Petite Sirah, Curcuma
Pinot Grigio, Burrata
Pinot Noir, Hongos
Riesling, Scamorza
Romano, Curcuma
Rose, Batata
San Francisco, Curcuma
Sauvignon Blanc, Burrata
Sauvignon Gris, Burrata
Semillon, Burrata
Shiraz, Curcuma
Syrah, Curcuma
Tempranillo, Hongos
Torontel, Scamorza
Viognier, Pollo
Barbera, Manchego
Cabernet Franc, Manchego
Carignan, Manchego
Carmenere, Manchego
Chardonnay, Cerdo
Ensamblaje Blanco, Cerdo
Espumoso, Delice de Bougorgne
Garnacha Blanca, Cerdo
Gewurztraminer, Langosta
Glera, Delice de Bougorgne
Grenache, Manchego
Merlot, Manchego
Montepulciano, Manchego
Moscatel Blanca, Langosta
Moscatel De Alejandria, Delice de Bougorgne
Petit Verdot, Manchego
Pinot Grigio, Delice de Bougorgne
Riesling, Langosta
Rose, Zanahoria
Sauvignon Blanc, Delice de Bougorgne
Sauvignon Gris, Delice de Bougorgne
Semillon, Delice de Bougorgne
Torontel, Langosta
Viognier, Cerdo
Barbera, Pollo
Cabernet Franc, Pollo
Carignan, Pollo
Carmenere, Pollo
Chardonnay, Chuleta
Ensamblaje Blanco, Chuleta
Espumoso, Gruyere
Garnacha Blanca, Chuleta
Gewurztraminer, Cangrejo
Glera, Gruyere
Grenache, Pollo
Merlot, Pollo
Montepulciano, Pollo
Moscatel Blanca, Cangrejo
Moscatel De Alejandria, Gruyere
Petit Verdot, Pollo
Pinot Grigio, Gruyere
Riesling, Cangrejo
Rose, Calabaza
Sauvignon Blanc, Gruyere
Sauvignon Gris, Gruyere
Semillon, Gruyere
Torontel, Cangrejo
Viognier, Chuleta
Barbera, Cerdo
Cabernet Franc, Cerdo
Carignan, Cerdo
Carmenere, Cerdo
Chardonnay, Tofu
Ensamblaje Blanco, Tofu
Espumoso, Comte
Garnacha Blanca, Tofu
Gewurztraminer, Camarones
Glera, Comte
Grenache, Cerdo
Merlot, Cerdo
Montepulciano, Cerdo
Moscatel Blanca, Camarones
Moscatel De Alejandria, Comte
Petit Verdot, Cerdo
Pinot Grigio, Comte
Riesling, Camarones
Rose, Nabo
Sauvignon Blanc, Comte
Sauvignon Gris, Comte
Semillon, Comte
Torontel, Camarones
Viognier, Tofu
Barbera, Chuleta
Cabernet Franc, Chuleta
Carignan, Chuleta
Carmenere, Chuleta
Chardonnay, Seitan
Ensamblaje Blanco, Seitan
Espumoso, Provolone
Garnacha Blanca, Seitan
Gewurztraminer, Pollo
Glera, Provolone
Grenache, Chuleta
Merlot, Chuleta
Montepulciano, Chuleta
Moscatel Blanca, Pollo
Moscatel De Alejandria, Provolone
Petit Verdot, Chuleta
Pinot Grigio, Provolone
Riesling, Pollo
Rose, Zapallo
Sauvignon Blanc, Provolone
Sauvignon Gris, Provolone
Semillon, Provolone
Torontel, Pollo
Viognier, Seitan
Barbera, Tofu
Cabernet Franc, Tofu
Carignan, Tofu
Carmenere, Tofu
Chardonnay, Cebolla
Ensamblaje Blanco, Cebolla
Espumoso, Edamental
Garnacha Blanca, Cebolla
Gewurztraminer, Cerdo
Glera, Edamental
Grenache, Tofu
Merlot, Tofu
Montepulciano, Tofu
Moscatel Blanca, Cerdo
Moscatel De Alejandria, Edamental
Petit Verdot, Tofu
Pinot Grigio, Edamental
Riesling, Cerdo
Rose, Menta
Sauvignon Blanc, Edamental
Sauvignon Gris, Edamental
Semillon, Edamental
Torontel, Cerdo
Viognier, Cebolla
Barbera, Seitan
Cabernet Franc, Seitan
Carignan, Seitan
Carmenere, Seitan
Chardonnay, Ajo
Ensamblaje Blanco, Ajo
Espumoso, Mozzarela
Garnacha Blanca, Ajo
Gewurztraminer, Chuleta
Glera, Mozzarela
Grenache, Seitan
Merlot, Seitan
Montepulciano, Seitan
Moscatel Blanca, Chuleta
Moscatel De Alejandria, Mozzarela
Petit Verdot, Seitan
Pinot Grigio, Mozzarela
Riesling, Chuleta
Rose, Basil
Sauvignon Blanc, Mozzarela
Sauvignon Gris, Mozzarela
Semillon, Mozzarela
Torontel, Chuleta
Viognier, Ajo
Barbera, Carne de Res
Cabernet Franc, Carne de Res
Carignan, Carne de Res
Carmenere, Carne de Res
Chardonnay, Chalota
Ensamblaje Blanco, Chalota
Espumoso, Scamorza
Garnacha Blanca, Chalota
Gewurztraminer, Tofu
Glera, Scamorza
Grenache, Carne de Res
Merlot, Carne de Res
Montepulciano, Carne de Res
Moscatel Blanca, Tofu
Moscatel De Alejandria, Scamorza
Petit Verdot, Carne de Res
Pinot Grigio, Scamorza
Riesling, Tofu
Rose, Cilantro
Sauvignon Blanc, Scamorza
Sauvignon Gris, Scamorza
Semillon, Scamorza
Torontel, Tofu
Viognier, Chalota
Barbera, Cordero
Cabernet Franc, Cordero
Carignan, Cordero
Carmenere, Cordero
Chardonnay, Cebollin
Ensamblaje Blanco, Cebollin
Espumoso, Parmesano
Garnacha Blanca, Cebollin
Gewurztraminer, Seitan
Glera, Parmesano
Grenache, Cordero
Merlot, Cordero
Montepulciano, Cordero
Moscatel Blanca, Seitan
Moscatel De Alejandria, Parmesano
Petit Verdot, Cordero
Pinot Grigio, Parmesano
Riesling, Seitan
Rose, Shiso
Sauvignon Blanc, Parmesano
Sauvignon Gris, Parmesano
Semillon, Parmesano
Torontel, Seitan
Viognier, Cebollin
Barbera, Venado
