variant,pairing
Semillon, Col
Torontel, Escarola
Barbera, Tomillo
Cabernet Franc, Tomillo
Carignan, Tomillo
Carmenere, Tomillo
Espumoso, Batata
Gewurztraminer, Pimiento Verde
Glera, Batata
Grenache, Tomillo
Merlot, Tomillo
Montepulciano, Tomillo
Moscatel Blanca, Pimiento Verde
Moscatel De Alejandria, Batata
Petit Verdot, Tomillo
Pinot Grigio, Lechuga
Riesling, Pimiento Verde
Sauvignon Blanc, Lechuga
Sauvignon Gris, Lechuga
Semillon, Lechuga
Torontel, Pimiento Verde
Barbera, Eneldo
Cabernet Franc, Eneldo
Carignan, Eneldo
Carmenere, Eneldo
Espumoso, Zanahoria
Gewurztraminer, Calabaza
Glera, Zanahoria
Grenache, Eneldo
Merlot, Eneldo
Montepulciano, Eneldo
Moscatel Blanca, Calabaza
Moscatel De Alejandria, Zanahoria
Petit Verdot, Eneldo
Pinot Grigio, Palta
Riesling, Calabaza
Sauvignon Blanc, Palta
Sauvignon Gris, Palta
Semillon, Palta
Torontel, Calabaza
Barbera, Perejil
Cabernet Franc, Perejil
Carignan, Perejil
Carmenere, Perejil
Espumoso, Calabaza
Gewurztraminer, Zanahoria
Glera, Calabaza
Grenache, Perejil
Merlot, Perejil
Montepulciano, Perejil
Moscatel Blanca, Zanahoria
Moscatel De Alejandria, Calabaza
Petit Verdot, Perejil
Pinot Grigio, Aguacate
Riesling, Zanahoria
Sauvignon Blanc, Aguacate
Sauvignon Gris, Aguacate
Semillon, Aguacate
Torontel, Zanahoria
Barbera, Anis
Cabernet Franc, Anis
Carignan, Anis
Carmenere, Anis
Espumoso, Nabo
Gewurztraminer, Nabo
Glera, Nabo
Grenache, Anis
Merlot, Anis
Montepulciano, Anis
Moscatel Blanca, Nabo
Moscatel De Alejandria, Nabo
Petit Verdot, Anis
Pinot Grigio, Escarola
Riesling, Nabo
Sauvignon Blanc, Escarola
Sauvignon Gris, Escarola
Semillon, Escarola
Torontel, Nabo
Barbera, Cardamomo
Cabernet Franc, Cardamomo
Carignan, Cardamomo
Carmenere, Cardamomo
Espumoso, Zapallo
Gewurztraminer, Zapallo
Glera, Zapallo
Grenache, Cardamomo
Merlot, Cardamomo
Montepulciano, Cardamomo
Moscatel Blanca, Zapallo
Moscatel De Alejandria, Zapallo
Petit Verdot, Cardamomo
Pinot Grigio, Pimiento Verde
Riesling, Zapallo
Sauvignon Blanc, Pimiento Verde
Sauvignon Gris, Pimiento Verde
Semillon, Pimiento Verde
Torontel, Zapallo
Barbera, Gengibre
Cabernet Franc, Gengibre
Carignan, Gengibre
Carmenere, Gengibre
Gewurztraminer, Menta
Grenache, Gengibre
Merlot, Gengibre
Montepulciano, Gengibre
Moscatel Blanca, Menta
Petit Verdot, Gengibre
Pinot Grigio, Calabaza
Riesling, Menta
Sauvignon Blanc, Calabaza
Sauvignon Gris, Calabaza
Semillon, Calabaza
Torontel, Menta
Barbera, Canela
Cabernet Franc, Canela
Carignan, Canela
Carmenere, Canela
Gewurztraminer, Albahaca
Grenache, Canela
Merlot, Canela
Montepulciano, Canela
Moscatel Blanca, Albahaca
Petit Verdot, Canela
Pinot Grigio, Zanahoria
Riesling, Albahaca
Sauvignon Blanc, Zanahoria
Sauvignon Gris, Zanahoria
Semillon, Zanahoria
Torontel, Albahaca
Barbera, Pimienta
Cabernet Franc, Pimienta
Carignan, Pimienta
Carmenere, Pimienta
Gewurztraminer, Cilantro
Grenache, Pimienta
Merlot, Pimienta
Montepulciano, Pimienta
Moscatel Blanca, Cilantro
Petit Verdot, Pimienta
Pinot Grigio, Nabo
Riesling, Cilantro
Sauvignon Blanc, Nabo
Sauvignon Gris, Nabo
Semillon, Nabo
Torontel, Cilantro
Barbera, Vainilla
Cabernet Franc, Vainilla
Carignan, Vainilla
Carmenere, Vainilla
Gewurztraminer, Shiso
Grenache, Vainilla
Merlot, Vainilla
Montepulciano, Vainilla
Moscatel Blanca, Shiso
Petit Verdot, Vainilla
Pinot Grigio, Zapallo
Riesling, Shiso
Sauvignon Blanc, Zapallo
Sauvignon Gris, Zapallo
Semillon, Zapallo
Torontel, Shiso
Barbera, Clavo
Cabernet Franc, Clavo
Carignan, Clavo
Carmenere, Clavo
Gewurztraminer, Perejil
Grenache, Clavo
Merlot, Clavo
Montepulciano, Clavo
Moscatel Blanca, Perejil
Petit Verdot, Clavo
Pinot Grigio, Cebolla
Riesling, Perejil
Sauvignon Blanc, Cebolla
Sauvignon Gris, Cebolla
Semillon, Cebolla
Torontel, Perejil
Barbera, Fenogreco
Cabernet Franc, Fenogreco
Carignan, Fenogreco
Carmenere, Fenogreco
Gewurztraminer, Anis
Grenache, Fenogreco
Merlot, Fenogreco
Montepulciano, Fenogreco
Moscatel Blanca, Anis
Petit Verdot, Fenogreco
Pinot Grigio, Ajo
Riesling, Anis
Sauvignon Blanc, Ajo
Sauvignon Gris, Ajo
Semillon, Ajo
Torontel, Anis
Barbera, Nuez Moscada
Cabernet Franc, Nuez Moscada
Carignan, Nuez Moscada
Carmenere, Nuez Moscada
Gewurztraminer, Cardamomo
Grenache, Nuez Moscada
Merlot, Nuez Moscada
Montepulciano, Nuez Moscada
Moscatel Blanca, Cardamomo
Petit Verdot, Nuez Moscada
Pinot Grigio, Chalota
Riesling, Cardamomo
Sauvignon Blanc, Chalota
Sauvignon Gris, Chalota
Semillon, Chalota
Torontel, Cardamomo
Gewurztraminer, Pimienta
Moscatel Blanca, Pimienta
Pinot Grigio, Cebollin
Riesling, Pimienta
Sauvignon Blanc, Cebollin
Sauvignon Gris, Cebollin
Semillon, Cebollin
Torontel, Pimienta
Gewurztraminer, Gengibre
Moscatel Blanca, Gengibre
Pinot Grigio, Menta
Riesling, Gengibre
Sauvignon Blanc, Menta
Sauvignon Gris, Menta
Semillon, Menta
Torontel, Gengibre
Gewurztraminer, Canela
Moscatel Blanca, Canela
Pinot Grigio, Basil
Riesling, Canela
Sauvignon Blanc, Basil
Sauvignon Gris, Basil
Semillon, Basil
Torontel, Canela
Gewurztraminer, Vainilla
Moscatel Blanca, Vainilla
Pinot Grigio, Cilantro
Riesling, Vainilla
Sauvignon Blanc, Cilantro
Sauvignon Gris, Cilantro
Semillon, Cilantro
Torontel, Vainilla
Gewurztraminer, Clavo
Moscatel Blanca, Clavo
Pinot Grigio, Shiso
Riesling, Clavo
Sauvignon Blanc, Shiso
Sauvignon Gris, Shiso
Semillon, Shiso
Torontel, Clavo
Gewurztraminer, Fenogreco
Moscatel Blanca, Fenogreco
Pinot Grigio, Perejil
Riesling, Fenogreco
Sauvignon Blanc, Perejil
Sauvignon Gris, Perejil
Semillon, Perejil
Torontel, Fenogreco
Gewurztraminer, Nuez Moscada
Moscatel Blanca, Nuez Moscada
Pinot Grigio, Oregano
Riesling, Nuez Moscada
Sauvignon Blanc, Oregano
Sauvignon Gris, Oregano
Semillon, Oregano
Torontel, Nuez Moscada
Gewurztraminer, Comino
Moscatel Blanca, Comino
Pinot Grigio, Tomillo
Riesling, Comino
Sauvignon Blanc, Tomillo
Sauvignon Gris, Tomillo
Semillon, Tomillo
Torontel, Comino
Gewurztraminer, Curcuma
Moscatel Blanca, Curcuma
Pinot Grigio, Eneldo
Riesling, Curcuma
Sauvignon Blanc, Eneldo
Sauvignon Gris, Eneldo
Semillon, Eneldo
Torontel, Curcuma
Gewurztraminer, Cayena
Moscatel Blanca, Cayena
Pinot Grigio, Mejorana
Riesling, Cayena
Sauvignon Blanc, Mejorana
Sauvignon Gris, Mejorana
Semillon, Mejorana
Torontel, Cayena
Gewurztraminer, Pimenton
Moscatel Blanca, Pimenton
Riesling, Pimenton
Torontel, Pimenton
Gewurztraminer, Chipotle
Moscatel Blanca, Chipotle
Riesling, Chipotle
Torontel, Chipotle
